GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
Oahu_AES,2020012300,Biodiesel,0.0
Oahu_AES,2020012300,Coal,1750.9475
Oahu_AES,2020012300,Diesel,0.0
Oahu_AES,2020012300,LNG,0.0
Oahu_AES,2020012300,LSFO,0.0
Oahu_AES,2020012300,Pellet-Biomass,0.0
Oahu_AES,2020012302,Biodiesel,0.0
Oahu_AES,2020012302,Coal,1284.7
Oahu_AES,2020012302,Diesel,0.0
Oahu_AES,2020012302,LNG,0.0
Oahu_AES,2020012302,LSFO,0.0
Oahu_AES,2020012302,Pellet-Biomass,0.0
Oahu_AES,2020012304,Biodiesel,0.0
Oahu_AES,2020012304,Coal,1830.90710505
Oahu_AES,2020012304,Diesel,0.0
Oahu_AES,2020012304,LNG,0.0
Oahu_AES,2020012304,LSFO,0.0
Oahu_AES,2020012304,Pellet-Biomass,0.0
Oahu_AES,2020012306,Biodiesel,0.0
Oahu_AES,2020012306,Coal,3119.427
Oahu_AES,2020012306,Diesel,0.0
Oahu_AES,2020012306,LNG,0.0
Oahu_AES,2020012306,LSFO,0.0
Oahu_AES,2020012306,Pellet-Biomass,0.0
Oahu_AES,2020012308,Biodiesel,0.0
Oahu_AES,2020012308,Coal,2559.75540792
Oahu_AES,2020012308,Diesel,0.0
Oahu_AES,2020012308,LNG,0.0
Oahu_AES,2020012308,LSFO,0.0
Oahu_AES,2020012308,Pellet-Biomass,0.0
Oahu_AES,2020012310,Biodiesel,0.0
Oahu_AES,2020012310,Coal,1750.9475
Oahu_AES,2020012310,Diesel,0.0
Oahu_AES,2020012310,LNG,0.0
Oahu_AES,2020012310,LSFO,0.0
Oahu_AES,2020012310,Pellet-Biomass,0.0
Oahu_AES,2020012312,Biodiesel,0.0
Oahu_AES,2020012312,Coal,1913.39334947
Oahu_AES,2020012312,Diesel,0.0
Oahu_AES,2020012312,LNG,0.0
Oahu_AES,2020012312,LSFO,0.0
Oahu_AES,2020012312,Pellet-Biomass,0.0
Oahu_AES,2020012314,Biodiesel,0.0
Oahu_AES,2020012314,Coal,2182.85007357
Oahu_AES,2020012314,Diesel,0.0
Oahu_AES,2020012314,LNG,0.0
Oahu_AES,2020012314,LSFO,0.0
Oahu_AES,2020012314,Pellet-Biomass,0.0
Oahu_AES,2020012316,Biodiesel,0.0
Oahu_AES,2020012316,Coal,3041.41592686
Oahu_AES,2020012316,Diesel,0.0
Oahu_AES,2020012316,LNG,0.0
Oahu_AES,2020012316,LSFO,0.0
Oahu_AES,2020012316,Pellet-Biomass,0.0
Oahu_AES,2020012318,Biodiesel,0.0
Oahu_AES,2020012318,Coal,3119.427
Oahu_AES,2020012318,Diesel,0.0
Oahu_AES,2020012318,LNG,0.0
Oahu_AES,2020012318,LSFO,0.0
Oahu_AES,2020012318,Pellet-Biomass,0.0
Oahu_AES,2020012320,Biodiesel,0.0
Oahu_AES,2020012320,Coal,3119.427
Oahu_AES,2020012320,Diesel,0.0
Oahu_AES,2020012320,LNG,0.0
Oahu_AES,2020012320,LSFO,0.0
Oahu_AES,2020012320,Pellet-Biomass,0.0
Oahu_AES,2020012322,Biodiesel,0.0
Oahu_AES,2020012322,Coal,3119.427
Oahu_AES,2020012322,Diesel,0.0
Oahu_AES,2020012322,LNG,0.0
Oahu_AES,2020012322,LSFO,0.0
Oahu_AES,2020012322,Pellet-Biomass,0.0
Oahu_AES,2020022300,Biodiesel,0.0
Oahu_AES,2020022300,Coal,3119.427
Oahu_AES,2020022300,Diesel,0.0
Oahu_AES,2020022300,LNG,0.0
Oahu_AES,2020022300,LSFO,0.0
Oahu_AES,2020022300,Pellet-Biomass,0.0
Oahu_AES,2020022302,Biodiesel,0.0
Oahu_AES,2020022302,Coal,2980.69806637
Oahu_AES,2020022302,Diesel,0.0
Oahu_AES,2020022302,LNG,0.0
Oahu_AES,2020022302,LSFO,0.0
Oahu_AES,2020022302,Pellet-Biomass,0.0
Oahu_AES,2020022304,Biodiesel,0.0
Oahu_AES,2020022304,Coal,3119.427
Oahu_AES,2020022304,Diesel,0.0
Oahu_AES,2020022304,LNG,0.0
Oahu_AES,2020022304,LSFO,0.0
Oahu_AES,2020022304,Pellet-Biomass,0.0
Oahu_AES,2020022306,Biodiesel,0.0
Oahu_AES,2020022306,Coal,3119.427
Oahu_AES,2020022306,Diesel,0.0
Oahu_AES,2020022306,LNG,0.0
Oahu_AES,2020022306,LSFO,0.0
Oahu_AES,2020022306,Pellet-Biomass,0.0
Oahu_AES,2020022308,Biodiesel,0.0
Oahu_AES,2020022308,Coal,3119.427
Oahu_AES,2020022308,Diesel,0.0
Oahu_AES,2020022308,LNG,0.0
Oahu_AES,2020022308,LSFO,0.0
Oahu_AES,2020022308,Pellet-Biomass,0.0
Oahu_AES,2020022310,Biodiesel,0.0
Oahu_AES,2020022310,Coal,3119.427
Oahu_AES,2020022310,Diesel,0.0
Oahu_AES,2020022310,LNG,0.0
Oahu_AES,2020022310,LSFO,0.0
Oahu_AES,2020022310,Pellet-Biomass,0.0
Oahu_AES,2020022312,Biodiesel,0.0
Oahu_AES,2020022312,Coal,3119.427
Oahu_AES,2020022312,Diesel,0.0
Oahu_AES,2020022312,LNG,0.0
Oahu_AES,2020022312,LSFO,0.0
Oahu_AES,2020022312,Pellet-Biomass,0.0
Oahu_AES,2020022314,Biodiesel,0.0
Oahu_AES,2020022314,Coal,3119.427
Oahu_AES,2020022314,Diesel,0.0
Oahu_AES,2020022314,LNG,0.0
Oahu_AES,2020022314,LSFO,0.0
Oahu_AES,2020022314,Pellet-Biomass,0.0
Oahu_AES,2020022316,Biodiesel,0.0
Oahu_AES,2020022316,Coal,3119.427
Oahu_AES,2020022316,Diesel,0.0
Oahu_AES,2020022316,LNG,0.0
Oahu_AES,2020022316,LSFO,0.0
Oahu_AES,2020022316,Pellet-Biomass,0.0
Oahu_AES,2020022318,Biodiesel,0.0
Oahu_AES,2020022318,Coal,3119.427
Oahu_AES,2020022318,Diesel,0.0
Oahu_AES,2020022318,LNG,0.0
Oahu_AES,2020022318,LSFO,0.0
Oahu_AES,2020022318,Pellet-Biomass,0.0
Oahu_AES,2020022320,Biodiesel,0.0
Oahu_AES,2020022320,Coal,3119.427
Oahu_AES,2020022320,Diesel,0.0
Oahu_AES,2020022320,LNG,0.0
Oahu_AES,2020022320,LSFO,0.0
Oahu_AES,2020022320,Pellet-Biomass,0.0
Oahu_AES,2020022322,Biodiesel,0.0
Oahu_AES,2020022322,Coal,3119.427
Oahu_AES,2020022322,Diesel,0.0
Oahu_AES,2020022322,LNG,0.0
Oahu_AES,2020022322,LSFO,0.0
Oahu_AES,2020022322,Pellet-Biomass,0.0
Oahu_AES,2020032300,Biodiesel,0.0
Oahu_AES,2020032300,Coal,1284.7
Oahu_AES,2020032300,Diesel,0.0
Oahu_AES,2020032300,LNG,0.0
Oahu_AES,2020032300,LSFO,0.0
Oahu_AES,2020032300,Pellet-Biomass,0.0
Oahu_AES,2020032302,Biodiesel,0.0
Oahu_AES,2020032302,Coal,1284.7
Oahu_AES,2020032302,Diesel,0.0
Oahu_AES,2020032302,LNG,0.0
Oahu_AES,2020032302,LSFO,0.0
Oahu_AES,2020032302,Pellet-Biomass,0.0
Oahu_AES,2020032304,Biodiesel,0.0
Oahu_AES,2020032304,Coal,1284.7
Oahu_AES,2020032304,Diesel,0.0
Oahu_AES,2020032304,LNG,0.0
Oahu_AES,2020032304,LSFO,0.0
Oahu_AES,2020032304,Pellet-Biomass,0.0
Oahu_AES,2020032306,Biodiesel,0.0
Oahu_AES,2020032306,Coal,1284.7
