period	timepoint_label	Oahu_AES	Oahu_Airport_DSG	Oahu_Battery_4	Oahu_Battery_6	Oahu_Battery_Conting	Oahu_Battery_Reg	Oahu_CC_152	Oahu_CIP_CT	Oahu_CentralTrackingPV_PV_01	Oahu_CentralTrackingPV_PV_02	Oahu_CentralTrackingPV_PV_03	Oahu_CentralTrackingPV_PV_04	Oahu_CentralTrackingPV_PV_05	Oahu_CentralTrackingPV_PV_06	Oahu_CentralTrackingPV_PV_07	Oahu_CentralTrackingPV_PV_08	Oahu_CentralTrackingPV_PV_09	Oahu_CentralTrackingPV_PV_10	Oahu_CentralTrackingPV_PV_11	Oahu_CentralTrackingPV_PV_12	Oahu_CentralTrackingPV_PV_13	Oahu_CentralTrackingPV_PV_14	Oahu_CentralTrackingPV_PV_15	Oahu_CentralTrackingPV_PV_16	Oahu_CentralTrackingPV_PV_17	Oahu_CentralTrackingPV_PV_18	Oahu_FlatDistPV_Oahu_FlatDistPV_0	Oahu_FlatDistPV_Oahu_FlatDistPV_1	Oahu_FlatDistPV_Oahu_FlatDistPV_2	Oahu_FlatDistPV_Oahu_FlatDistPV_3	Oahu_H-Power	Oahu_Honolulu_8	Oahu_Honolulu_9	Oahu_IC_Barge	Oahu_IC_MCBH	Oahu_IC_Schofield	Oahu_Kahe_1	Oahu_Kahe_2	Oahu_Kahe_3	Oahu_Kahe_4	Oahu_Kahe_5	Oahu_Kahe_6	Oahu_Kalaeloa_CC1	Oahu_Kalaeloa_CC2	Oahu_Kalaeloa_CC3	Oahu_OffshoreWind_OffWind	Oahu_OnshoreWind_OnWind_101	Oahu_OnshoreWind_OnWind_102	Oahu_OnshoreWind_OnWind_103	Oahu_OnshoreWind_OnWind_104	Oahu_OnshoreWind_OnWind_105	Oahu_OnshoreWind_OnWind_106	Oahu_OnshoreWind_OnWind_107	Oahu_OnshoreWind_OnWind_201	Oahu_OnshoreWind_OnWind_202	Oahu_OnshoreWind_OnWind_203	Oahu_OnshoreWind_OnWind_204	Oahu_OnshoreWind_OnWind_205	Oahu_OnshoreWind_OnWind_206	Oahu_OnshoreWind_OnWind_207	Oahu_OnshoreWind_OnWind_208	Oahu_OnshoreWind_OnWind_209	Oahu_OnshoreWind_OnWind_301	Oahu_OnshoreWind_OnWind_302	Oahu_OnshoreWind_OnWind_303	Oahu_OnshoreWind_OnWind_304	Oahu_OnshoreWind_OnWind_305	Oahu_OnshoreWind_OnWind_306	Oahu_OnshoreWind_OnWind_307	Oahu_OnshoreWind_OnWind_308	Oahu_OnshoreWind_OnWind_309	Oahu_OnshoreWind_OnWind_401	Oahu_OnshoreWind_OnWind_402	Oahu_OnshoreWind_OnWind_403	Oahu_OnshoreWind_OnWind_404	Oahu_OnshoreWind_OnWind_405	Oahu_OnshoreWind_OnWind_406	Oahu_OnshoreWind_OnWind_407	Oahu_OnshoreWind_OnWind_408	Oahu_OnshoreWind_OnWind_409	Oahu_OnshoreWind_OnWind_410	Oahu_OnshoreWind_OnWind_501	Oahu_OnshoreWind_OnWind_502	Oahu_OnshoreWind_OnWind_503	Oahu_OnshoreWind_OnWind_504	Oahu_OnshoreWind_OnWind_505	Oahu_OnshoreWind_OnWind_506	Oahu_OnshoreWind_OnWind_507	Oahu_OnshoreWind_OnWind_508	Oahu_OnshoreWind_OnWind_509	Oahu_OnshoreWind_OnWind_Kahuku	Oahu_OnshoreWind_OnWind_Kawailoa	Oahu_SlopedDistPV_Oahu_SlopedDistPV_0	Oahu_SlopedDistPV_Oahu_SlopedDistPV_1	Oahu_SlopedDistPV_Oahu_SlopedDistPV_10	Oahu_SlopedDistPV_Oahu_SlopedDistPV_11	Oahu_SlopedDistPV_Oahu_SlopedDistPV_12	Oahu_SlopedDistPV_Oahu_SlopedDistPV_13	Oahu_SlopedDistPV_Oahu_SlopedDistPV_14	Oahu_SlopedDistPV_Oahu_SlopedDistPV_15	Oahu_SlopedDistPV_Oahu_SlopedDistPV_2	Oahu_SlopedDistPV_Oahu_SlopedDistPV_3	Oahu_SlopedDistPV_Oahu_SlopedDistPV_4	Oahu_SlopedDistPV_Oahu_SlopedDistPV_5	Oahu_SlopedDistPV_Oahu_SlopedDistPV_6	Oahu_SlopedDistPV_Oahu_SlopedDistPV_7	Oahu_SlopedDistPV_Oahu_SlopedDistPV_8	Oahu_SlopedDistPV_Oahu_SlopedDistPV_9	Oahu_Waiau_10	Oahu_Waiau_6	Oahu_Waiau_7	Oahu_Waiau_8	Oahu_Waiau_9
2020	2020-01-23-00:00	78.0684675062	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.85544445475	0.0	22.8357	0.0	0.0	0.0	0.0	12.94665	0.0	142.962965	18.7821525	59.04939	9.96276	20.2955775	3.0686775	6.14697	1.453885	1.605915	19.5399	31.501467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020	2020-01-23-02:00	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.98055	0.0	133.1249825	22.772435	69.5603525	2.00979958764	26.33963	2.6663625	5.77027	1.3409325	1.0844675	18.71022	33.338454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020	2020-01-23-04:00	96.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.34195674544	0.0	23.9777	0.0	0.0	0.0	0.0	27.0836	0.0	142.801945	13.6051	74.177045	10.1545	26.76582	3.3406725	4.94402	1.21365	0.8874925	20.90541	23.564673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020	2020-01-23-06:00	180.0	0.0	13.7139333261	0.0	0.0	0.0	71.162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.27500527841	0.0	22.63585	0.0	0.0	0.0	0.0	37.22695	0.0	162.0773	26.5717225	86.15288	12.66488	32.51675	3.525885	5.14105	1.55014	1.665705	22.98357	44.146476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020	2020-01-23-08:00	152.034686797	0.0	0.0	0.0	0.0	0.0	71.162	0.0	0.0	0.0	0.0	0.0	0.238142572502	0.0	0.0	0.0	0.0	0.0	0.0	10.8939494179	0.0	0.0	0.0	0.0	0.0	0.0	17.7472262392	0.0	6.09388486256	24.4076915934	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0689259591	0.0	17.4598	0.0	0.0	0.0	0.0	34.32515	0.0	165.1762075	31.6463925	76.1756025	14.78036	32.028	1.5346275	5.00209	1.5148025	1.0592625	21.34269	59.003142	0.0	17.7533310764	12.7215946172	0.0	14.8701985522	0.0	5.09467443799	0.0	0.0	0.878202369536	0.0	4.67017914121	8.53728835742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020	2020-01-23-10:00	132.010654131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.3458857302	0.0	0.0	0.0	0.0	0.0	0.0	21.0365948257	0.0	0.0	0.0	0.0	0.0	0.0	47.1995207261	0.0	21.6750226295	51.7333161936	42.8	0.0	0.0	0.0	0.0	8.1999432	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.63448301134	0.0	25.0811	0.0	0.0	0.0	0.0	22.32765	0.0	154.4213325	17.98498	80.2495625	7.43186	23.1044025	2.7765675	3.94049	0.9145525	1.51966	20.60028	40.191534	0.0	33.7852242865	19.4354023441	0.0	32.7832937707	0.0	26.5395024087	0.0	0.0	6.94979607889	0.0	12.0071836285	25.1710660097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020	2020-01-23-12:00	117.421959661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.23120311054	0.0	0.0	0.0	0.0	0.0	0.0	16.5377682538	0.0	0.0	0.0	0.0	0.0	0.0	61.1195150646	0.0	30.494419949	62.2827948705	42.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.28145378287	0.0	25.965	0.0	0.0	0.0	0.0	21.6789	0.0	129.2556525	21.0791075	77.870775	6.5268	20.2825725	3.9698625	5.32034	1.1118875	1.1426425	17.12919	35.484009	0.0	36.5672163994	22.901997443	0.0	32.6468595451	0.0	43.4665921963	0.0	0.0	13.070057333	0.0	16.5578648714	32.6704240426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020	2020-01-23-14:00	141.915922424	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.79780841012	0.0	0.0	0.0	0.0	0.0	0.0	14.6657954643	0.0	0.0	0.0	0.0	0.0	0.0	54.5577731081	0.0	29.1068144717	50.4402544721	42.8	0.0	0.0	0.0	0.0	16.3998864	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.08308766476	0.0	25.69395	0.0	0.0	0.0	0.0	20.3273	0.0	126.4048225	18.3757675	79.1086375	9.39586	20.0396	3.59283	5.08924	1.15442	0.97541	17.0268	31.614144	0.0	27.8141086841	15.246218821	0.0	20.2218950327	0.0	44.6689734987	0.0	0.0	14.2308973136	0.0	15.1108185312	30.3042039178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020	2020-01-23-16:00	180.0	0.0	0.0	0.0	0.0	0.0	93.7450995413	0.0	0.0	0.0	0.0	0.0	4.8241063067	0.0	0.0	0.0	0.0	0.0	0.0	15.4291511556	0.0	0.0	0.0	0.0	0.0	0.0	19.0100441964	0.0	12.5956780132	17.4674777618	42.8	0.0	0.0	0.0	0.0	8.1999432	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.74000556563	0.0	28.49325	0.0	0.0	0.0	0.0	21.37785	0.0	159.4367175	21.404955	84.3601825	14.64468	23.18477	3.4582125	5.66363	1.1807375	1.3340975	20.88774	42.765924	0.0	7.24022382923	3.48689039351	0.0	4.10916065432	0.0	16.9422451139	0.0	0.0	7.6158629474	0.0	7.0527406092	12.8488616033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2020	2020-01-23-18:00	180.0	0.0	29.7546746819	0.0	0.0	0.0	150.586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.8	0.0	0.0	0.0	0.0	37.5651534491	0.0	0.0	0.0	0.0	0.0	0.0	90.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.65488043781	0.0	24.1494	0.0	0.0	0.0	0.0	27.9056	0.0	164.7552275	25.5170425	84.02848	7.44996	29.2778675	5.1034575	4.79955	1.14484	1.7892475	24.54105	43.40583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
