ChargeEVs_index_1	ChargeEVs_index_2	ChargeEVs
Oahu	2020012300	0.0
Oahu	2020012302	0.0
Oahu	2020012304	0.0
Oahu	2020012306	11.3771527673
Oahu	2020012308	0.0
Oahu	2020012310	0.0
Oahu	2020012312	0.0
Oahu	2020012314	106.724692635
Oahu	2020012316	0.0
Oahu	2020012318	0.0
Oahu	2020012320	0.0
Oahu	2020012322	0.0
Oahu	2020022300	17.7947912781
Oahu	2020022302	0.0
Oahu	2020022304	0.0
Oahu	2020022306	0.0
Oahu	2020022308	100.307054125
Oahu	2020022310	0.0
Oahu	2020022312	0.0
Oahu	2020022314	0.0
Oahu	2020022316	0.0
Oahu	2020022318	0.0
Oahu	2020022320	0.0
Oahu	2020022322	0.0
Oahu	2020032300	0.0
Oahu	2020032302	0.0
Oahu	2020032304	0.0
Oahu	2020032306	0.0
Oahu	2020032308	0.0
Oahu	2020032310	0.0
Oahu	2020032312	54.7865070434
Oahu	2020032314	0.0
Oahu	2020032316	63.3153383593
Oahu	2020032318	0.0
Oahu	2020032320	0.0
Oahu	2020032322	0.0
Oahu	2020042300	0.0
Oahu	2020042302	0.0
Oahu	2020042304	0.0
Oahu	2020042306	0.249315142948
Oahu	2020042308	72.5134860119
Oahu	2020042310	0.0
Oahu	2020042312	0.0
Oahu	2020042314	0.0
Oahu	2020042316	45.3390442478
Oahu	2020042318	0.0
Oahu	2020042320	0.0
Oahu	2020042322	0.0
Oahu	2020052300	0.0
Oahu	2020052302	0.0
Oahu	2020052304	0.0
Oahu	2020052306	0.0
Oahu	2020052308	0.0
Oahu	2020052310	118.101845403
Oahu	2020052312	0.0
Oahu	2020052314	0.0
Oahu	2020052316	0.0
Oahu	2020052318	0.0
Oahu	2020052320	0.0
Oahu	2020052322	0.0
Oahu	2020062300	78.9039500082
Oahu	2020062302	0.0
Oahu	2020062304	0.0
Oahu	2020062306	39.1978953945
Oahu	2020062308	0.0
Oahu	2020062310	0.0
Oahu	2020062312	0.0
Oahu	2020062314	0.0
Oahu	2020062316	0.0
Oahu	2020062318	0.0
Oahu	2020062320	0.0
Oahu	2020062322	0.0
Oahu	2020072300	0.0
Oahu	2020072302	0.0
Oahu	2020072304	0.0
Oahu	2020072306	0.0
Oahu	2020072308	0.0
Oahu	2020072310	0.0
Oahu	2020072312	71.854338915
Oahu	2020072314	0.0
Oahu	2020072316	0.0
Oahu	2020072318	0.0
Oahu	2020072320	0.0
Oahu	2020072322	46.2475064877
Oahu	2020082300	0.0
Oahu	2020082302	0.0
Oahu	2020082304	0.0
Oahu	2020082306	0.0
Oahu	2020082308	21.1574887969
Oahu	2020082310	0.0
Oahu	2020082312	0.0
Oahu	2020082314	0.0
Oahu	2020082316	0.0
Oahu	2020082318	43.3064277075
Oahu	2020082320	15.9904041466
Oahu	2020082322	37.6475247517
Oahu	2020092300	0.0
Oahu	2020092302	0.0
Oahu	2020092304	0.0
Oahu	2020092306	0.0
Oahu	2020092308	0.0
Oahu	2020092310	107.96953895
Oahu	2020092312	0.0
Oahu	2020092314	0.0
Oahu	2020092316	0.0
Oahu	2020092318	0.0
Oahu	2020092320	0.0
Oahu	2020092322	10.132306453
Oahu	2020102300	0.0
Oahu	2020102302	0.0
Oahu	2020102304	75.9975000387
Oahu	2020102306	0.0
Oahu	2020102308	0.0
Oahu	2020102310	0.0
Oahu	2020102312	0.0
Oahu	2020102314	0.0
Oahu	2020102316	0.0
Oahu	2020102318	0.0
Oahu	2020102320	0.0
Oahu	2020102322	42.104345364
Oahu	2020112300	0.0
Oahu	2020112302	0.0
Oahu	2020112304	0.0
Oahu	2020112306	69.8596354607
Oahu	2020112308	0.0
Oahu	2020112310	0.0
Oahu	2020112312	0.0
Oahu	2020112314	0.0
Oahu	2020112316	48.242209942
Oahu	2020112318	0.0
Oahu	2020112320	0.0
Oahu	2020112322	0.0
Oahu	2020122300	0.0
Oahu	2020122302	0.0
Oahu	2020122304	0.0
Oahu	2020122306	0.0
Oahu	2020122308	0.0
Oahu	2020122310	0.0
Oahu	2020122312	118.101845403
Oahu	2020122314	0.0
Oahu	2020122316	0.0
Oahu	2020122318	0.0
Oahu	2020122320	0.0
Oahu	2020122322	0.0
Oahu	2025012300	0.0
Oahu	2025012302	0.0
Oahu	2025012304	0.0
Oahu	2025012306	0.0
Oahu	2025012308	0.0
Oahu	2025012310	0.0
Oahu	2025012312	284.26839533
Oahu	2025012314	0.0
Oahu	2025012316	0.0
Oahu	2025012318	0.0
Oahu	2025012320	0.0
Oahu	2025012322	0.0
Oahu	2025022300	0.0
Oahu	2025022302	0.0
Oahu	2025022304	30.4921762378
Oahu	2025022306	0.0
Oahu	2025022308	0.0
Oahu	2025022310	0.0
Oahu	2025022312	0.0
Oahu	2025022314	253.776219092
Oahu	2025022316	0.0
Oahu	2025022318	0.0
Oahu	2025022320	0.0
Oahu	2025022322	0.0
Oahu	2025032300	0.0
Oahu	2025032302	0.0
Oahu	2025032304	0.0
Oahu	2025032306	0.0
Oahu	2025032308	0.0
Oahu	2025032310	0.0
Oahu	2025032312	0.0
Oahu	2025032314	108.280446599
Oahu	2025032316	175.987948731
Oahu	2025032318	0.0
Oahu	2025032320	0.0
Oahu	2025032322	0.0
Oahu	2025042300	0.0
Oahu	2025042302	20.1349595085
Oahu	2025042304	0.0
Oahu	2025042306	0.0
Oahu	2025042308	0.0
Oahu	2025042310	0.0
Oahu	2025042312	264.133435821
Oahu	2025042314	0.0
Oahu	2025042316	0.0
Oahu	2025042318	0.0
Oahu	2025042320	0.0
Oahu	2025042322	0.0
Oahu	2025052300	0.0
Oahu	2025052302	0.0
Oahu	2025052304	40.7994519679
Oahu	2025052306	0.0
Oahu	2025052308	0.0
Oahu	2025052310	224.526150772
Oahu	2025052312	0.0
Oahu	2025052314	18.94279259
Oahu	2025052316	0.0
Oahu	2025052318	0.0
Oahu	2025052320	0.0
Oahu	2025052322	0.0
Oahu	2025062300	0.0
Oahu	2025062302	0.0
Oahu	2025062304	2.08648848429
Oahu	2025062306	0.0
Oahu	2025062308	0.0
Oahu	2025062310	282.181906845
Oahu	2025062312	0.0
Oahu	2025062314	0.0
Oahu	2025062316	0.0
Oahu	2025062318	0.0
Oahu	2025062320	0.0
Oahu	2025062322	0.0
Oahu	2025072300	0.0
Oahu	2025072302	0.0
Oahu	2025072304	0.0
Oahu	2025072306	0.0
Oahu	2025072308	0.0
Oahu	2025072310	0.0
Oahu	2025072312	83.8097682113
Oahu	2025072314	0.0
Oahu	2025072316	200.458627118
Oahu	2025072318	0.0
Oahu	2025072320	0.0
Oahu	2025072322	0.0
Oahu	2025082300	0.0
Oahu	2025082302	5.45838557579
Oahu	2025082304	19.5585024664
Oahu	2025082306	0.0
Oahu	2025082308	0.0
Oahu	2025082310	0.0
Oahu	2025082312	0.0
Oahu	2025082314	259.251507288
Oahu	2025082316	0.0
Oahu	2025082318	0.0
Oahu	2025082320	0.0
Oahu	2025082322	0.0
Oahu	2025092300	0.0
Oahu	2025092302	0.0
Oahu	2025092304	52.1181825794
Oahu	2025092306	0.0
Oahu	2025092308	0.0
Oahu	2025092310	0.0
Oahu	2025092312	0.0
Oahu	2025092314	232.15021275
Oahu	2025092316	0.0
Oahu	2025092318	0.0
Oahu	2025092320	0.0
Oahu	2025092322	0.0
Oahu	2025102300	0.0
Oahu	2025102302	0.0
Oahu	2025102304	0.0
Oahu	2025102306	0.0
Oahu	2025102308	0.0
Oahu	2025102310	0.0
Oahu	2025102312	0.0
Oahu	2025102314	237.721984007
Oahu	2025102316	46.5464113231
Oahu	2025102318	0.0
Oahu	2025102320	0.0
Oahu	2025102322	0.0
Oahu	2025112300	0.0
Oahu	2025112302	0.0
Oahu	2025112304	0.0
Oahu	2025112306	0.0
Oahu	2025112308	0.0
Oahu	2025112310	283.070854918
Oahu	2025112312	0.0
Oahu	2025112314	0.0
